inventory_id,manufacturer_name,nomenclature,part_id,price,qty,warehouse_id,aircraft_id,product_id,
100,Beech Aircraft,2019 Cessna Grand Caravan EX,1,"$7,200,000.00 ",1,P002,522,1000,
101,Cessana Aircraft,2016 Citation M2,2, $-   ,0,P002,927,1001,
102,Piper Aircraft,2019 Citation M2,3, $-   ,0,P002,32,1002,
103,Cessana Aircraft,2021 Citation M2,4,"$50,000.00 ",1,P002,79,1003,
104,LearJet,2007 Citation CJ3,5, $-   ,0,P002,196,1004,
105,Cessana Aircraft,2018 Citation CJ3+,6, $-   ,0,P002,551,1005,
106,Cessana Aircraft,2014 Citation XLS+,7, $-   ,0,P002,175,1006,
107,Cessana Aircraft,2005 Citation Sovereign,8, $-   ,0,P002,37,1007,
108,Beech Aircraft,2006 King Air B200,9,"$1,023,000.00 ",2,P002,934,1008,1
109,Beech Aircraft,2020 King Air 250,10, $-   ,0,P002,374,1009,2
110,Beech Aircraft,2021 King Air 260,11,"$920,000.00 ",2,P002,397,1010,
111,Beech Aircraft,2022 King Air 260,12, $-   ,0,P002,417,1011,
112,Beech Aircraft,2021 King Air 360,13,"$1,266,890.00 ",1,P002,246,1012,
113,BeechJet,2011 TBM 850,14, $-   ,0,P002,593,1013,
114,Hawker,2019 Piper M600,15,"$27,251.00 ",1,P002,81,1014,
115,Beech Aircraft,2006 Corvex,16,"$19,950.00 ",2,P002,950,1015,
116,Beech Aircraft,2007 Corvex C6,17, $-   ,0,P002,935,1016,
117,Gulfstream America,2008 Corvex XSL,18,"$15,000.00 ",1,P002,985,1017,
118,Contiental Motors,Piston Engine,19,"$3,000.00 ",1,P001,522,1000,
119,Lycoming,Turboprop Engine,20,"$2,500.00 ",1,P001,927,1001,
120,Rotax,Turbbine Engine,21,"$2,000.00 ",1,P001,32,1002,
121,Pratt&Whitney,Turboprop Engine,22,"$3,100.00 ",1,P001,79,1003,
122,Honeywell,Turbbine Engine,23,"$2,500.00 ",1,P001,196,1004,
123,Garrett,Piston Engine,24,"$2,400.00 ",1,P001,551,1005,
124,EnerSys,Battery,25,$250.00 ,1,P001,175,1006,
125,Cessna,Alternator,26,$900.00 ,1,P001,37,1007,
126,Honeywell,Air Filter,27,$40.00 ,1,P001,934,1008,
127,Aveo,Strobe Lamps,28,$200.00 ,1,P001,374,1009,
128,J&P,Fuel Caps,29,$120.00 ,1,P001,397,1010,
129,Piper,Cargo Tie-Downs,30,$40.00 ,1,P001,417,1011,
130,Michelin,Tires,31,$350.00 ,1,P001,246,1012,
131,Tempest,Spark Plugs,32,$130.00 ,1,P001,593,1013,
132,RAMI,Coaxial Cables,33,$20.00 ,1,P001,81,1014,
133,Tempest,Fuel Pump,34,$800.00 ,1,P001,950,1015,
134,Klixon,Circuit Breakers,35,$35.00 ,1,P001,935,1016,
135,AN,Fittings,36,$3.00 ,1,P001,985,1017,
